season,week,away,home,awayscore,homescore
2009,1,TEN,PIT,10,13
2009,1,MIA,ATL,7,19
2009,1,KC,BAL,24,38
2009,1,PHI,CAR,38,10
2009,1,MIN,CLE,34,20
2009,1,NYJ,HOU,24,7
2009,1,DET,NO,27,45
2009,1,JAC,IND,12,14
2009,1,DAL,TB,34,21
2009,1,DEN,CIN,12,7
2009,1,WAS,NYG,17,23
2009,1,SF,ARI,20,16
2009,1,STL,SEA,0,28
2009,1,CHI,GB,15,21
2009,1,BUF,NE,24,25
2009,1,SD,OAK,24,20
2009,2,CAR,ATL,20,28
2009,2,MIN,DET,27,13
2009,2,CIN,GB,31,24
2009,2,ARI,JAC,31,17
2009,2,OAK,KC,13,10
2009,2,NE,NYJ,9,16
2009,2,NO,PHI,48,22
2009,2,HOU,TEN,34,31
2009,2,STL,WAS,7,9
2009,2,TB,BUF,20,33
2009,2,SEA,SF,10,23
2009,2,PIT,CHI,14,17
2009,2,CLE,DEN,6,27
2009,2,BAL,SD,31,26
2009,2,NYG,DAL,33,31
2009,2,IND,MIA,27,23
2009,3,CLE,BAL,2,34
2009,3,WAS,DET,14,19
2009,3,JAC,HOU,31,24
2009,3,ATL,NE,10,26
2009,3,GB,STL,36,17
2009,3,NYG,TB,24,0
2009,3,TEN,NYJ,17,24
2009,3,KC,PHI,14,34
2009,3,SF,MIN,24,27
2009,3,NO,BUF,27,7
2009,3,CHI,SEA,25,19
2009,3,PIT,CIN,20,23
2009,3,DEN,OAK,23,3
2009,3,MIA,SD,13,23
2009,3,IND,ARI,31,10
2009,3,CAR,DAL,7,21
2009,4,DET,CHI,24,48
2009,4,CIN,CLE,23,20
2009,4,OAK,HOU,6,29
2009,4,SEA,IND,17,34
2009,4,TEN,JAC,17,37
2009,4,NYG,KC,27,16
2009,4,BAL,NE,21,27
2009,4,TB,WAS,13,16
2009,4,BUF,MIA,10,38
2009,4,NYJ,NO,10,24
2009,4,DAL,DEN,10,17
2009,4,STL,SF,0,35
2009,4,SD,PIT,28,38
2009,4,GB,MIN,23,30
2009,5,CIN,BAL,--,--
2009,5,CLE,BUF,--,--
2009,5,WAS,CAR,--,--
2009,5,PIT,DET,--,--
2009,5,DAL,KC,--,--
2009,5,OAK,NYG,--,--
2009,5,TB,PHI,--,--
2009,5,MIN,STL,--,--
2009,5,ATL,SF,--,--
2009,5,HOU,ARI,--,--
2009,5,NE,DEN,--,--
2009,5,JAC,SEA,--,--
2009,5,IND,TEN,--,--
2009,5,NYJ,MIA,--,--
2009,6,HOU,CIN,--,--
2009,6,DET,GB,--,--
2009,6,NYG,NO,--,--
2009,6,CLE,PIT,--,--
2009,6,STL,JAC,--,--
2009,6,KC,WAS,--,--
2009,6,BAL,MIN,--,--
2009,6,CAR,TB,--,--
2009,6,ARI,SEA,--,--
2009,6,PHI,OAK,--,--
2009,6,TEN,NE,--,--
2009,6,BUF,NYJ,--,--
2009,6,CHI,ATL,--,--
2009,6,DEN,SD,--,--
2009,7,CHI,CIN,--,--
2009,7,SF,HOU,--,--
2009,7,GB,CLE,--,--
2009,7,SD,KC,--,--
2009,7,IND,STL,--,--
2009,7,NE,TB,--,--
2009,7,MIN,PIT,--,--
2009,7,BUF,CAR,--,--
2009,7,NYJ,OAK,--,--
2009,7,ATL,DAL,--,--
2009,7,NO,MIA,--,--
2009,7,ARI,NYG,--,--
2009,7,PHI,WAS,--,--
2009,8,DEN,BAL,--,--
2009,8,HOU,BUF,--,--
2009,8,CLE,CHI,--,--
2009,8,SEA,DAL,--,--
2009,8,STL,DET,--,--
2009,8,MIN,GB,--,--
2009,8,SF,IND,--,--
2009,8,MIA,NYJ,--,--
2009,8,OAK,SD,--,--
2009,8,JAC,TEN,--,--
2009,8,CAR,ARI,--,--
2009,8,NYG,PHI,--,--
2009,8,ATL,NO,--,--
2009,9,WAS,ATL,--,--
2009,9,ARI,CHI,--,--
2009,9,BAL,CIN,--,--
2009,9,HOU,IND,--,--
2009,9,KC,JAC,--,--
2009,9,MIA,NE,--,--
2009,9,GB,TB,--,--
2009,9,CAR,NO,--,--
2009,9,DET,SEA,--,--
2009,9,SD,NYG,--,--
2009,9,TEN,SF,--,--
2009,9,DAL,PHI,--,--
2009,9,PIT,DEN,--,--
2009,10,CHI,SF,--,--
