week,away,home
1,TEN,PIT
1,MIA,ATL
1,KC,BAL
1,PHI,CAR
1,JAC,IND
1,DAL,TB
1,DET,NO
1,NYJ,HOU
1,MIN,CLE
1,DEN,CIN
1,SF,ARI
1,WAS,NYG
1,STL,SEA
1,CHI,GB
1,BUF,NE
1,SD,OAK
2,MIN,DET
2,CAR,ATL
2,CIN,GB
2,ARI,JAC
2,NE,NYJ
2,HOU,TEN
2,STL,WAS
2,NO,PHI
2,OAK,KC
2,TB,BUF
2,SEA,SF
2,PIT,CHI
2,CLE,DEN
2,BAL,SD
2,NYG,DAL
2,IND,MIA
3,GB,STL
3,KC,PHI
3,ATL,NE
3,CLE,BAL
3,WAS,DET
3,JAC,HOU
3,SF,MIN
3,PIT,CIN
3,NYG,TB
3,CHI,SEA
3,NO,BUF
3,TEN,NYJ
3,DEN,OAK
3,MIA,SD
3,IND,ARI
3,CAR,DAL
4,DET,CHI
4,CIN,CLE
4,OAK,HOU
4,SEA,IND
4,TEN,JAC
4,NYG,KC
4,BAL,NE
4,TB,WAS
4,BUF,MIA
4,NYJ,NO
4,DAL,DEN
4,STL,SF
4,SD,PIT
4,GB,MIN
5,CIN,BAL
5,CLE,BUF
5,WAS,CAR
5,PIT,DET
5,DAL,KC
5,OAK,NYG
5,TB,PHI
5,MIN,STL
5,ATL,SF
5,HOU,ARI
5,NE,DEN
5,JAC,SEA
5,IND,TEN
5,NYJ,MIA
6,HOU,CIN
6,STL,JAC
6,CLE,PIT
6,NYG,NO
6,BAL,MIN
6,DET,GB
6,CAR,TB
6,KC,WAS
6,PHI,OAK
6,ARI,SEA
6,TEN,NE
6,BUF,NYJ
6,CHI,ATL
6,DEN,SD
7,CHI,CIN
7,NE,TB
7,IND,STL
7,MIN,PIT
7,SD,KC
7,SF,HOU
7,GB,CLE
7,BUF,CAR
7,NYJ,OAK
7,ATL,DAL
7,NO,MIA
7,ARI,NYG
7,PHI,WAS
8,DEN,BAL
8,STL,DET
8,SEA,DAL
8,CLE,CHI
8,HOU,BUF
8,MIN,GB
8,MIA,NYJ
8,SF,IND
8,JAC,TEN
8,OAK,SD
8,CAR,ARI
8,NYG,PHI
8,ATL,NO
9,WAS,ATL
9,GB,TB
9,MIA,NE
9,KC,JAC
9,HOU,IND
9,BAL,CIN
9,ARI,CHI
9,CAR,NO
9,DET,SEA
9,SD,NYG
9,TEN,SF
9,DAL,PHI
9,PIT,DEN
10,CHI,SF
10,ATL,CAR
10,TB,MIA
10,DET,MIN
10,DEN,WAS
10,BUF,TEN
10,NO,STL
10,CIN,PIT
10,JAC,NYJ
10,KC,OAK
10,SEA,ARI
10,DAL,GB
10,PHI,SD
10,NE,IND
10,BAL,CLE
11,MIA,CAR
11,PIT,KC
11,SEA,MIN
11,WAS,DAL
11,SF,GB
11,BUF,JAC
11,CLE,DET
11,IND,BAL
11,ATL,NYG
11,NO,TB
11,ARI,STL
11,SD,DEN
11,NYJ,NE
11,CIN,OAK
11,PHI,CHI
11,TEN,HOU
12,GB,DET
12,OAK,DAL
12,NYG,DEN
12,TB,ATL
12,MIA,BUF
12,CLE,CIN
12,IND,HOU
12,CHI,MIN
12,CAR,NYJ
12,WAS,PHI
12,SEA,STL
12,ARI,TEN
12,KC,SD
12,JAC,SF
12,PIT,BAL
12,NE,NO
13,NYJ,BUF
13,PHI,ATL
13,TB,CAR
13,STL,CHI
13,DET,CIN
13,TEN,IND
13,NO,WAS
13,OAK,PIT
13,HOU,JAC
13,DEN,KC
13,SD,CLE
13,MIN,ARI
13,DAL,NYG
13,SF,SEA
13,NE,MIA
13,BAL,GB
14,PIT,CLE
14,NO,ATL
14,DET,BAL
14,GB,CHI
14,SEA,HOU
14,DEN,IND
14,MIA,JAC
14,BUF,KC
14,CIN,MIN
14,CAR,NE
14,NYJ,TB
14,STL,TEN
14,WAS,OAK
14,SD,DAL
14,PHI,NYG
14,ARI,SF
15,IND,JAC
15,DAL,NO
15,CHI,BAL
15,NE,BUF
15,ARI,DET
15,CLE,KC
15,ATL,NYJ
15,SF,PHI
15,GB,PIT
15,HOU,STL
15,MIA,TEN
15,OAK,DEN
15,CIN,SD
15,TB,SEA
15,MIN,CAR
15,NYG,WAS
16,SD,TEN
16,BUF,ATL
16,KC,CIN
16,OAK,CLE
16,SEA,GB
16,HOU,MIA
16,CAR,NYG
16,JAC,NE
16,TB,NO
16,DEN,PHI
16,BAL,PIT
16,STL,ARI
16,DET,SF
16,NYJ,IND
16,DAL,WAS
16,MIN,CHI
17,IND,BUF
17,NO,CAR
17,JAC,CLE
17,PHI,DAL
17,CHI,DET
17,NE,HOU
17,PIT,MIA
17,NYG,MIN
17,CIN,NYJ
17,SF,STL
17,ATL,TB
17,GB,ARI
17,KC,DEN
17,BAL,OAK
17,WAS,SD
17,TEN,SEA
