season,week,away,home,awayscore,homescore
2009,1,SM,DI,104,52
2009,1,RD,RT,76,104
2009,1,BR,CM,62,107
2009,1,BE,UM,94,86
2009,1,LP,HP,135,128
2009,1,CH,CP,111,74
2009,1,BE,DI,94,52
2009,1,RT,UM,104,86
2009,2,LP,CH,89,99
2009,2,DI,RD,80,88
2009,2,HP,CP,114,116
2009,2,CM,BE,87,106
2009,2,UM,SM,91,90
2009,2,BR,RT,159,101
2009,2,HP,CH,114,99
2009,2,LP,CM,89,87
2009,3,CH,SM,77,94
2009,3,RT,LP,96,87
2009,3,UM,HP,132,87
2009,3,CP,BR,115,79
2009,3,DI,CM,69,96
2009,3,RD,BE,132,78
2009,3,SM,CP,94,115
2009,4,SM,RD,82,125
2009,4,LP,DI,67,92
2009,4,CH,RT,107,84
2009,4,BE,CP,136,116
2009,4,HP,CM,96,98
2009,4,BR,UM,84,140
2009,4,HP,RT,96,84
2009,5,RT,SM,--,--
2009,5,RD,LP,--,--
2009,5,HP,BR,--,--
2009,5,CM,UM,--,--
2009,5,CH,BE,--,--
2009,5,CP,DI,--,--
2009,5,RD,UM,--,--
2009,6,RD,CH,--,--
2009,6,DI,RT,--,--
2009,6,BR,BE,--,--
2009,6,CM,CP,--,--
2009,6,SM,HP,--,--
2009,6,UM,LP,--,--
2009,6,BR,DI,--,--
2009,7,SM,LP,--,--
2009,7,CH,DI,--,--
2009,7,CP,UM,--,--
2009,7,BE,HP,--,--
2009,7,CM,RT,--,--
2009,7,RD,BR,--,--
2009,7,CP,LP,--,--
2009,8,RT,RD,--,--
2009,8,CH,LP,--,--
2009,8,DI,SM,--,--
2009,8,UM,BE,--,--
2009,8,CM,HP,--,--
2009,8,BR,CP,--,--
2009,8,HP,RD,--,--
2009,9,LP,RD,--,--
2009,9,SM,RT,--,--
2009,9,CP,CM,--,--
2009,9,BE,BR,--,--
2009,9,DI,HP,--,--
2009,9,UM,CH,--,--
2009,9,SM,BR,--,--
2009,10,RD,DI,--,--
2009,10,RT,CH,--,--
2009,10,CP,HP,--,--
2009,10,UM,CM,--,--
2009,10,LP,BR,--,--
2009,10,BE,SM,--,--
2009,10,CH,CM,--,--
2009,11,SM,CH,--,--
2009,11,DI,LP,--,--
2009,11,HP,BE,--,--
2009,11,UM,BR,--,--
2009,11,RT,CP,--,--
2009,11,CM,RD,--,--
2009,11,BE,LP,--,--
2009,11,DI,UM,--,--
2009,12,RD,SM,--,--
2009,12,DI,CH,--,--
2009,12,LP,RT,--,--
2009,12,BR,HP,--,--
2009,12,BE,CM,--,--
2009,12,UM,CP,--,--
2009,12,CP,RD,--,--
2009,12,BR,CH,--,--
2009,13,LP,SM,--,--
2009,13,CH,RD,--,--
2009,13,RT,DI,--,--
2009,13,HP,UM,--,--
2009,13,CP,BE,--,--
2009,13,CM,BR,--,--
2009,13,RT,BE,--,--
2009,13,CM,SM,--,--
